ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
8628679,HV301961,05/24/2012 08:55:00 PM,037XX W 16TH ST,0460,BATTERY,SIMPLE,SIDEWALK,True,False,1014,10,24.0,29.0,08B,1151858.0,1891789.0,2012,02/04/2016 06:33:39 AM,41.858941802,-87.71806122,"(41.858941802, -87.71806122)"
8599048,HV272770,05/05/2012 01:41:00 PM,059XX S HONORE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,STREET,False,False,714,7,15.0,67.0,26,1165037.0,1865229.0,2012,02/04/2016 06:33:39 AM,41.785788912,-87.670437635,"(41.785788912, -87.670437635)"
8724483,HV400823,07/26/2012 04:00:00 AM,030XX W FULTON BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1331,12,27.0,27.0,14,1156166.0,1901853.0,2012,02/04/2016 06:33:39 AM,41.886472647,-87.701976178,"(41.886472647, -87.701976178)"
8769382,HV361345,07/01/2012 12:01:00 AM,055XX S NORDICA AVE,0890,THEFT,FROM BUILDING,ABANDONED BUILDING,False,False,811,8,23.0,56.0,06,1130318.0,1866980.0,2012,02/10/2018 03:50:01 PM,41.791258005,-87.797696564,"(41.791258005, -87.797696564)"
8713151,HV389744,07/19/2012 12:03:00 AM,016XX E 70TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,332,3,5.0,43.0,03,1188728.0,1858905.0,2012,02/04/2016 06:33:39 AM,41.767901293,-87.583778171,"(41.767901293, -87.583778171)"
8614516,HV288362,05/15/2012 11:10:00 PM,011XX W 51ST ST,0820,THEFT,$500 AND UNDER,STREET,False,False,934,9,16.0,61.0,06,1169434.0,1870975.0,2012,02/04/2016 06:33:39 AM,41.801462435,-87.654149693,"(41.801462435, -87.654149693)"
8666165,HV341760,06/19/2012 12:47:00 AM,021XX S OAKLEY AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,1223,12,25.0,31.0,18,1161362.0,1889830.0,2012,02/04/2016 06:33:39 AM,41.85337392,-87.683229545,"(41.85337392, -87.683229545)"
8748762,HV423844,08/10/2012 07:00:00 AM,026XX N SHEFFIELD AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),False,False,1935,19,32.0,7.0,11,1169169.0,1917750.0,2012,02/10/2018 03:50:01 PM,41.929822507,-87.653763616,"(41.929822507, -87.653763616)"
8761101,HV435685,08/17/2012 05:00:00 PM,041XX W FIFTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1132,11,24.0,26.0,07,1148690.0,1896466.0,2012,02/04/2016 06:33:39 AM,41.871837761,-87.72956926,"(41.871837761, -87.72956926)"
8628588,HV301937,05/24/2012 08:50:00 PM,005XX E 63RD ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,True,False,312,3,20.0,42.0,18,1181092.0,1863362.0,2012,02/04/2016 06:33:39 AM,41.780310939,-87.611630184,"(41.780310939, -87.611630184)"
